Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,0,2,0,0,0,0,0,0,0,1,3
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,2,0,0,0,0,0,0,0,1,3
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,1,3,1,0,0,5
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,0,0,0,0,1,1,0,0,1,2,0,5
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,18,23,29,17,26,24,29,17,26,31,19,18,277
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,8,1,8,8,12,17,12,16,12,14,19,13,140
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,0,0,0,0,0,0,0,0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),0,2,0,0,5,2,2,1,1,1,2,2,18
ESTUPRO,0,2,0,0,2,1,0,0,1,0,1,0,7
ESTUPRO DE VULNERÁVEL,0,0,0,0,3,1,2,1,0,1,1,2,11
TOTAL DE ROUBO - OUTROS (1),62,70,93,87,97,90,106,112,63,107,87,71,1.045
ROUBO - OUTROS,61,69,92,84,96,90,99,110,62,105,86,68,1.022
ROUBO DE VEÍCULO,8,5,16,15,10,16,7,13,9,13,21,13,146
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,1,1,1,3,1,0,7,2,1,2,1,3,23
FURTO - OUTROS,113,116,180,127,145,198,190,134,130,169,126,129,1.757
FURTO DE VEÍCULO,54,64,82,101,74,86,78,93,101,112,89,69,1.003
