Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,1,0,0,0,0,0,0,0,0,0,1
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,1,0,0,0,0,0,0,0,0,0,1
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,0,0,1,0,0,0,0,0,0,0,2,4
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,1,0,0,0,2,0,1,0,0,2,0,1,7
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,32,18,20,25,25,21,25,28,32,40,24,32,322
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,6,8,9,5,11,7,6,12,14,6,0,9,93
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,6,0,1,0,0,0,0,1,0,0,8
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),1,0,1,2,7,1,1,2,3,6,2,2,28
ESTUPRO,0,0,0,1,2,0,1,1,0,0,1,1,7
ESTUPRO DE VULNERÁVEL,1,0,1,1,5,1,0,1,3,6,1,1,21
TOTAL DE ROUBO - OUTROS (1),146,91,111,95,94,76,87,114,98,103,113,137,1.265
ROUBO - OUTROS,145,90,110,95,92,75,87,113,96,103,112,136,1.254
ROUBO DE VEÍCULO,11,8,9,9,16,11,10,10,17,12,12,18,143
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,1,1,1,0,2,1,0,1,2,0,1,1,11
FURTO - OUTROS,188,131,188,190,209,206,165,225,159,212,219,222,2.314
FURTO DE VEÍCULO,20,24,30,17,25,20,16,25,19,19,31,29,275
