Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,1,1,0,0,0,0,0,0,4,0,0,6
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,1,1,0,0,0,0,0,0,4,0,0,6
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,1,1,0,0,0,1,0,0,0,0,3
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,1,1,2,0,0,0,0,0,0,1,0,1,6
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,38,10,25,13,19,19,28,23,30,26,39,41,311
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,8,8,13,12,19,21,10,14,13,16,12,15,161
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,3,5,4,2,0,2,0,0,1,1,18
LATROCÍNIO,0,0,0,0,0,1,1,0,0,0,0,0,2
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,1,1,0,0,0,0,0,2
TOTAL DE ESTUPRO (4),2,3,5,3,2,4,2,3,8,1,4,1,38
ESTUPRO,0,0,1,1,0,0,0,0,1,0,1,1,5
ESTUPRO DE VULNERÁVEL,2,3,4,2,2,4,2,3,7,1,3,0,33
TOTAL DE ROUBO - OUTROS (1),99,68,75,76,85,98,91,82,70,58,65,81,948
ROUBO - OUTROS,96,65,72,74,85,96,88,81,67,58,63,79,924
ROUBO DE VEÍCULO,8,4,7,6,1,4,7,3,4,6,7,7,64
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,3,3,3,2,0,2,3,1,3,0,2,2,24
FURTO - OUTROS,110,102,154,136,197,150,177,194,111,149,127,123,1.73
FURTO DE VEÍCULO,23,18,36,25,26,26,41,20,28,21,25,22,311
