Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,0,0,0,0,0,1,0,1,2
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,0,0,0,0,0,1,0,1,2
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,1,0,0,0,2,0,0,3
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,0,0,0,0,1,1,0,0,0,0,0,2
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,20,8,14,24,21,16,18,13,20,20,21,29,224
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,10,6,9,10,11,3,5,3,8,11,2,8,86
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,0,0,0,4,0,1,0,5
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),2,2,4,2,5,1,2,0,4,2,3,1,28
ESTUPRO,0,2,1,0,3,0,1,0,0,0,1,1,9
ESTUPRO DE VULNERÁVEL,2,0,3,2,2,1,1,0,4,2,2,0,19
TOTAL DE ROUBO - OUTROS (1),72,80,109,91,83,82,74,66,91,81,69,88,986
ROUBO - OUTROS,72,79,109,90,82,82,74,66,91,80,69,87,981
ROUBO DE VEÍCULO,26,19,25,20,27,20,17,10,23,20,24,15,246
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,0,1,0,1,1,0,0,0,0,1,0,1,5
FURTO - OUTROS,63,62,78,101,73,83,123,78,70,106,74,99,1.01
FURTO DE VEÍCULO,86,75,90,63,57,74,48,63,92,86,74,84,892
