Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),2,0,1,0,0,1,0,2,1,2,1,0,10
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),2,0,1,0,0,1,0,2,1,2,1,0,10
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,1,0,0,0,0,0,0,1
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,1,0,0,0,0,0,0,1
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,1,0,0,1
TENTATIVA DE HOMICÍDIO,0,1,1,0,0,2,1,1,0,1,1,0,8
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,1,1,0,1,0,0,0,0,0,3
LESÃO CORPORAL DOLOSA,31,10,40,22,30,30,32,26,30,39,26,32,348
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,9,7,5,6,8,7,8,11,6,7,6,6,86
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,1,0,0,0,2,0,0,0,3
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),3,3,2,5,3,2,2,5,1,3,6,5,40
ESTUPRO,0,0,0,3,0,0,1,0,1,0,1,3,9
ESTUPRO DE VULNERÁVEL,3,3,2,2,3,2,1,5,0,3,5,2,31
TOTAL DE ROUBO - OUTROS (1),196,143,160,202,168,169,161,137,161,159,160,157,1.973
ROUBO - OUTROS,194,143,159,199,168,168,156,135,157,157,157,152,1.945
ROUBO DE VEÍCULO,20,25,30,32,34,23,36,21,30,28,43,22,344
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,2,0,1,3,0,1,5,2,4,2,3,5,28
FURTO - OUTROS,133,111,158,151,120,137,95,129,120,107,122,131,1.514
FURTO DE VEÍCULO,30,34,38,29,31,19,33,23,26,31,33,19,346
