Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,0,0,0,0,0,1,0,0,1
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,0,0,0,0,0,1,0,0,1
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,1,0,0,1,0,0,0,0,0,0,2
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,0,0,1,0,0,2,0,0,0,1,0,4
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,22,20,71,17,34,13,46,22,22,37,24,33,361
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,6,7,4,0,3,0,9,3,6,12,8,6,64
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,0,0,1,0,0,0,2,3
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),2,0,2,1,2,2,1,1,3,4,1,3,22
ESTUPRO,1,0,1,0,0,1,0,0,1,1,0,2,7
ESTUPRO DE VULNERÁVEL,1,0,1,1,2,1,1,1,2,3,1,1,15
TOTAL DE ROUBO - OUTROS (1),81,92,104,105,110,103,80,97,91,81,77,78,1.099
ROUBO - OUTROS,79,89,102,105,109,103,80,97,90,80,77,74,1.085
ROUBO DE VEÍCULO,16,13,19,14,9,15,33,10,9,22,16,32,208
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,2,3,2,0,1,0,0,0,1,1,0,4,14
FURTO - OUTROS,92,66,95,88,110,103,119,102,124,85,96,127,1.207
FURTO DE VEÍCULO,19,8,21,13,10,14,17,9,16,13,13,17,170
