Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),1,1,2,0,2,0,1,1,2,0,2,2,14
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,1,2,0,2,0,1,1,2,0,2,2,14
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,1,0,0,1,0,0,1,3
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,0,1,1,0,1,0,0,2,7,2,1,15
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,86,84,109,76,72,58,88,22,65,44,32,36,772
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,10,12,5,4,9,14,6,14,9,2,12,4,101
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,0,0,0,0,0,0,0,0
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),1,2,6,4,7,1,9,3,6,7,3,3,52
ESTUPRO,0,0,1,0,1,0,1,0,1,1,2,1,8
ESTUPRO DE VULNERÁVEL,1,2,5,4,6,1,8,3,5,6,1,2,44
TOTAL DE ROUBO - OUTROS (1),207,150,170,154,170,172,183,223,178,170,149,210,2.136
ROUBO - OUTROS,204,150,169,153,170,172,182,220,177,166,147,207,2.117
ROUBO DE VEÍCULO,26,18,33,25,33,31,35,31,28,31,46,28,365
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,3,0,1,1,0,0,1,3,1,4,2,3,19
FURTO - OUTROS,162,131,132,103,112,136,179,138,111,145,136,127,1.612
FURTO DE VEÍCULO,20,9,15,17,17,15,20,17,25,15,14,18,202
