Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,1,1,1,0,0,0,0,0,0,0,0,3
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,1,1,1,0,0,0,0,0,0,0,0,3
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,1,0,0,0,0,0,1,2
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,1,0,1
TENTATIVA DE HOMICÍDIO,0,0,0,1,1,0,1,1,0,0,0,1,5
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,23,19,25,22,19,32,21,30,27,27,31,27,303
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,12,15,16,11,16,16,11,10,11,20,10,14,162
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,0,0,0,0,0,2,0,2
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),3,3,2,1,1,3,2,1,0,3,1,1,21
ESTUPRO,0,2,1,0,0,1,1,1,0,1,0,0,7
ESTUPRO DE VULNERÁVEL,3,1,1,1,1,2,1,0,0,2,1,1,14
TOTAL DE ROUBO - OUTROS (1),153,157,129,129,156,110,154,145,128,212,155,197,1.825
ROUBO - OUTROS,149,156,123,122,153,108,150,142,123,207,153,192,1.778
ROUBO DE VEÍCULO,5,5,4,9,7,7,16,6,1,7,6,7,80
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,4,1,6,7,3,2,4,3,5,5,2,5,47
FURTO - OUTROS,360,383,413,398,395,364,462,478,512,509,474,507,5.255
FURTO DE VEÍCULO,43,63,74,50,53,50,52,45,58,74,51,41,654
