Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),1,0,0,0,0,1,0,0,0,0,1,1,4
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,0,0,0,0,1,0,0,0,0,1,1,4
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,0,0,3,2,0,0,0,0,0,0,0,6
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,1,0,0,0,1,0,0,0,0,1,0,0,3
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,14,14,27,16,20,16,21,36,35,116,30,38,383
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,3,7,9,9,19,7,12,16,10,27,12,12,143
LESÃO CORPORAL CULPOSA - OUTRAS,1,0,0,0,0,0,0,0,0,7,2,0,10
LATROCÍNIO,0,0,0,0,0,0,1,0,0,0,0,0,1
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,1,0,0,0,0,0,1
TOTAL DE ESTUPRO (4),1,2,1,4,2,0,0,0,3,8,4,4,29
ESTUPRO,0,1,0,2,0,0,0,0,0,1,1,2,7
ESTUPRO DE VULNERÁVEL,1,1,1,2,2,0,0,0,3,7,3,2,22
TOTAL DE ROUBO - OUTROS (1),91,68,75,71,72,64,69,93,149,105,99,86,1.042
ROUBO - OUTROS,86,67,74,65,69,63,65,90,147,104,94,84,1.008
ROUBO DE VEÍCULO,9,10,16,9,7,8,21,14,8,15,18,14,149
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,5,1,1,6,3,1,4,3,2,1,5,2,34
FURTO - OUTROS,141,134,267,223,163,175,204,235,232,206,204,170,2.354
FURTO DE VEÍCULO,44,50,61,55,62,56,46,50,71,83,77,58,713
