Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),1,0,1,0,0,0,0,1,0,0,1,1,5
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,0,1,0,0,0,0,1,0,0,1,1,5
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,1,1,2,0,0,0,1,0,0,5
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,1,1,0,1,0,0,1,0,0,1,0,5
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,20,10,24,22,25,17,17,25,26,25,20,20,251
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,5,6,15,9,15,8,17,16,12,17,11,13,144
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,1,0,1,0,1,0,1,0,1,0,5
LATROCÍNIO,0,0,0,0,0,0,0,0,1,0,0,0,1
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,1,0,0,0,1
TOTAL DE ESTUPRO (4),3,1,4,3,0,4,3,2,1,1,2,0,24
ESTUPRO,1,0,1,2,0,1,0,1,0,1,1,0,8
ESTUPRO DE VULNERÁVEL,2,1,3,1,0,3,3,1,1,0,1,0,16
TOTAL DE ROUBO - OUTROS (1),94,90,114,137,121,100,117,168,119,131,112,86,1.389
ROUBO - OUTROS,93,88,110,136,120,92,113,161,116,127,109,81,1.346
ROUBO DE VEÍCULO,11,12,17,23,19,15,24,11,15,18,15,18,198
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,1,2,4,1,1,8,4,7,3,4,3,5,43
FURTO - OUTROS,151,138,173,172,194,167,164,215,144,185,168,141,2.012
FURTO DE VEÍCULO,28,23,51,35,34,40,37,34,31,36,35,40,424
