Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,0,0,0,0,0,0,0,2,1,0,0,4
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,1,0,0,0,0,0,0,0,0,0,0,0,1
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,10,8,9,12,6,9,12,0,11,17,15,15,124
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,3,0,3,7,5,7,5,8,7,5,5,7,62
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,2,1,0,0,0,8,0,0,0,1,12
LATROCÍNIO,0,0,0,0,0,0,0,0,1,0,0,0,1
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,1,0,0,0,1
TOTAL DE ESTUPRO (4),0,1,0,1,0,0,0,0,0,0,0,2,4
ESTUPRO,0,0,0,0,0,0,0,0,0,0,0,0,0
ESTUPRO DE VULNERÁVEL,0,1,0,1,0,0,0,0,0,0,0,2,4
TOTAL DE ROUBO - OUTROS (1),29,15,50,49,38,31,8,29,43,38,42,51,423
ROUBO - OUTROS,28,15,49,49,35,31,8,29,42,38,42,51,417
ROUBO DE VEÍCULO,3,3,11,9,13,14,3,8,3,9,11,6,93
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,1,0,1,0,3,0,0,0,1,0,0,0,6
FURTO - OUTROS,74,41,75,54,74,80,109,71,43,60,52,77,810
FURTO DE VEÍCULO,72,69,86,60,77,107,71,77,90,101,94,71,975
