Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),1,0,0,0,0,0,0,0,0,0,0,0,1
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,0,0,0,0,0,0,0,0,0,0,0,1
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,1,0,0,1,0,1,0,0,0,0,3
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,12,15,11,10,10,2,3,10,7,7,11,13,111
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,2,5,7,3,4,4,2,5,1,46,0,5,84
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,2,0,0,2,0,0,0,0,0,4
LATROCÍNIO,0,0,0,0,0,0,1,0,0,0,0,0,1
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,1,0,0,0,0,0,1
TOTAL DE ESTUPRO (4),2,0,0,2,0,0,1,1,0,0,0,1,7
ESTUPRO,2,0,0,1,0,0,0,0,0,0,0,1,4
ESTUPRO DE VULNERÁVEL,0,0,0,1,0,0,1,1,0,0,0,0,3
TOTAL DE ROUBO - OUTROS (1),20,28,37,32,12,20,19,52,37,36,40,36,369
ROUBO - OUTROS,20,26,37,31,12,20,19,51,37,36,39,35,363
ROUBO DE VEÍCULO,5,12,6,6,15,3,7,11,2,8,4,9,88
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,0,2,0,1,0,0,0,1,0,0,1,1,6
FURTO - OUTROS,77,36,52,51,54,37,42,64,19,57,55,49,593
FURTO DE VEÍCULO,24,29,39,35,31,37,33,42,40,30,49,34,423
