Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,1,0,0,0,0,0,0,0,0,0,0,1
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,1,0,0,0,0,0,0,0,0,0,0,1
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,1,0,1,1,1,0,1,0,1,6
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,0,1,2,1,0,0,0,0,0,0,0,4
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,30,11,17,17,18,27,53,30,25,28,16,26,298
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,8,6,3,5,7,6,9,8,7,13,0,0,72
LESÃO CORPORAL CULPOSA - OUTRAS,0,1,2,0,2,0,0,1,0,0,2,0,8
LATROCÍNIO,0,0,0,0,0,0,0,0,0,1,0,0,1
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,1,0,0,1
TOTAL DE ESTUPRO (4),0,0,3,5,2,2,10,2,4,1,1,2,32
ESTUPRO,0,0,0,0,0,1,3,0,0,0,0,0,4
ESTUPRO DE VULNERÁVEL,0,0,3,5,2,1,7,2,4,1,1,2,28
TOTAL DE ROUBO - OUTROS (1),116,82,138,105,134,82,85,98,68,104,78,111,1.201
ROUBO - OUTROS,115,81,137,105,132,81,84,98,67,103,75,111,1.189
ROUBO DE VEÍCULO,9,15,11,12,18,12,19,12,18,28,12,16,182
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,1,1,1,0,2,1,1,0,1,1,3,0,12
FURTO - OUTROS,103,93,160,174,176,125,145,156,128,143,122,104,1.629
FURTO DE VEÍCULO,37,37,42,32,44,37,30,37,48,46,51,35,476
