Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,1,0,0,0,0,2,0,0,3
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,1,0,0,0,0,3,0,0,4
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,1,0,0,0,0,0,0,1
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,0,0,1,1,1,0,0,0,1,1,1,6
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,24,35,27,20,30,29,35,30,34,26,44,50,384
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,14,4,11,11,7,11,16,17,15,19,10,12,147
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,2,1,1,1,1,1,0,1,8
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,1,1
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,1,1
TOTAL DE ESTUPRO (4),2,1,4,5,3,1,4,7,1,1,2,2,33
ESTUPRO,0,1,0,1,1,0,1,2,0,1,1,2,10
ESTUPRO DE VULNERÁVEL,2,0,4,4,2,1,3,5,1,0,1,0,23
TOTAL DE ROUBO - OUTROS (1),72,94,80,107,81,75,63,75,126,100,97,98,1.068
ROUBO - OUTROS,71,93,78,106,81,74,62,71,121,95,97,96,1.045
ROUBO DE VEÍCULO,8,8,3,6,5,6,8,7,4,17,17,4,93
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,1,1,2,1,0,1,1,4,5,5,0,2,23
FURTO - OUTROS,157,166,197,178,237,186,178,196,159,182,179,176,2.191
FURTO DE VEÍCULO,53,54,79,60,61,66,64,64,55,54,57,50,717
