Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,0,0,0,0,0,2,1,0,3
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,0,0,0,0,0,2,1,0,3
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,2,1,0,2,1,1,0,0,7
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,1,1,0,0,1,0,0,0,1,2,0,6
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,1,0,0,0,0,0,0,1
LESÃO CORPORAL DOLOSA,13,17,22,39,22,20,29,26,19,32,23,18,280
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,3,7,6,4,6,13,6,8,6,8,6,12,85
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,0,0,0,0,1,0,0,1
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),0,1,1,2,3,1,1,1,1,1,0,1,13
ESTUPRO,0,0,0,1,1,1,0,0,0,0,0,1,4
ESTUPRO DE VULNERÁVEL,0,1,1,1,2,0,1,1,1,1,0,0,9
TOTAL DE ROUBO - OUTROS (1),102,72,112,130,101,94,93,96,99,82,87,126,1.194
ROUBO - OUTROS,102,72,112,129,100,94,93,96,99,81,87,126,1.191
ROUBO DE VEÍCULO,12,10,13,23,13,16,13,11,14,24,23,25,197
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,0,0,0,1,1,0,0,0,0,1,0,0,3
FURTO - OUTROS,79,62,75,87,75,70,76,105,105,82,105,94,1.015
FURTO DE VEÍCULO,12,6,9,10,13,5,10,7,12,11,13,17,125
