Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),1,0,0,0,0,0,1,0,0,0,0,0,2
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,0,0,0,0,0,1,0,0,0,0,0,2
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,2,1,0,0,1,0,0,0,4
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,0,0,0,0,0,0,1,0,0,0,0,1
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,31,22,10,23,19,16,27,28,23,88,24,1,312
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,7,8,8,10,10,15,7,6,14,34,4,0,123
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,0,0,0,0,1,0,0,0,1
LATROCÍNIO,0,1,1,0,0,0,0,0,1,0,0,0,3
Nº DE VÍTIMAS EM LATROCÍNIO,0,1,1,0,0,0,0,0,1,0,0,0,3
TOTAL DE ESTUPRO (4),0,1,2,2,1,1,2,2,1,0,2,3,17
ESTUPRO,0,1,0,1,0,1,0,1,0,0,0,1,5
ESTUPRO DE VULNERÁVEL,0,0,2,1,1,0,2,1,1,0,2,2,12
TOTAL DE ROUBO - OUTROS (1),148,107,134,140,126,162,216,177,204,162,179,181,1.936
ROUBO - OUTROS,146,107,132,137,125,160,215,175,203,158,175,181,1.914
ROUBO DE VEÍCULO,25,15,14,21,17,18,26,17,21,27,27,26,254
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,2,0,2,3,1,2,1,2,1,4,4,0,22
FURTO - OUTROS,123,107,182,243,192,149,165,139,131,161,162,134,1.888
FURTO DE VEÍCULO,7,13,17,14,21,18,16,15,21,31,23,16,212
