Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,0,0,0,0,0,0,1,0,1
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,0,0,0,0,0,0,1,0,1
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,1,0,1
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,0,0,0,1,1,0,0,0,0,0,0,2
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,18,25,17,18,16,28,16,22,23,22,16,17,238
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,7,4,9,7,9,11,13,11,9,11,6,7,104
LESÃO CORPORAL CULPOSA - OUTRAS,0,1,0,1,1,0,0,0,0,0,0,1,4
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),0,1,2,0,2,1,0,1,1,0,1,0,9
ESTUPRO,0,1,1,0,0,1,0,1,1,0,1,0,6
ESTUPRO DE VULNERÁVEL,0,0,1,0,2,0,0,0,0,0,0,0,3
TOTAL DE ROUBO - OUTROS (1),189,160,197,206,215,340,190,267,274,330,290,246,2.904
ROUBO - OUTROS,189,159,197,206,215,340,189,267,274,330,290,245,2.901
ROUBO DE VEÍCULO,0,1,2,2,1,4,2,4,2,2,1,2,23
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,0,1,0,0,0,0,1,0,0,0,0,1,3
FURTO - OUTROS,503,509,649,669,712,2.418,728,767,893,1.304,1.012,630,10.794
FURTO DE VEÍCULO,23,43,47,39,32,32,44,41,44,51,54,44,494
