Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,1,1,0,0,0,0,1,0,0,0,3
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,1,1,0,0,0,0,1,0,0,0,3
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,1,0,0,0,1
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,1,0,0,0,1
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,1,0,1,0,0,0,0,1,0,0,1,4
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,0,0,0,0,1,1,1,0,0,0,0,3
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,31,28,43,32,19,24,23,18,27,19,22,16,302
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,3,8,7,9,5,0,8,18,11,9,18,10,106
LESÃO CORPORAL CULPOSA - OUTRAS,0,8,2,0,1,0,4,2,1,2,0,0,20
LATROCÍNIO,0,1,0,0,0,0,0,0,0,0,0,0,1
Nº DE VÍTIMAS EM LATROCÍNIO,0,1,0,0,0,0,0,0,0,0,0,0,1
TOTAL DE ESTUPRO (4),0,0,1,2,2,0,2,5,4,4,1,1,22
ESTUPRO,0,0,1,1,1,0,1,2,0,3,0,0,9
ESTUPRO DE VULNERÁVEL,0,0,0,1,1,0,1,3,4,1,1,1,13
TOTAL DE ROUBO - OUTROS (1),103,86,119,97,95,87,99,142,89,87,105,113,1222
ROUBO - OUTROS,101,83,117,96,94,83,97,139,85,86,103,112,1196
ROUBO DE VEÍCULO,18,17,32,19,21,25,29,34,22,12,25,25,279
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,2,3,2,1,1,4,2,3,4,1,2,1,26
FURTO - OUTROS,192,132,218,208,234,219,225,241,257,244,244,212,2626
FURTO DE VEÍCULO,61,55,59,71,68,90,85,82,117,91,99,67,945
