Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,0,1,0,1,0,0,0,0,2
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,0,1,0,1,0,0,0,0,2
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,2,0,0,0,0,0,1,1,0,1,1,0,6
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,0,1,0,0,1,0,0,1,2,0,0,5
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,31,28,40,31,23,20,30,25,17,32,23,26,326
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,13,13,16,19,13,11,19,19,6,11,10,8,158
LESÃO CORPORAL CULPOSA - OUTRAS,3,0,0,0,0,0,0,0,0,0,0,0,3
LATROCÍNIO,1,0,0,0,1,0,0,0,0,1,0,0,3
Nº DE VÍTIMAS EM LATROCÍNIO,1,0,0,0,1,0,0,0,0,1,0,0,3
TOTAL DE ESTUPRO (4),3,1,3,4,1,2,3,2,1,2,3,2,27
ESTUPRO,0,0,0,1,0,2,1,0,0,0,1,0,5
ESTUPRO DE VULNERÁVEL,3,1,3,3,1,0,2,2,1,2,2,2,22
TOTAL DE ROUBO - OUTROS (1),58,57,60,65,33,56,37,44,53,61,61,46,631
ROUBO - OUTROS,58,57,59,63,31,55,37,44,52,61,60,44,621
ROUBO DE VEÍCULO,4,10,11,5,5,5,4,7,7,5,17,9,89
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,0,0,1,2,2,1,0,0,1,0,1,2,10
FURTO - OUTROS,100,92,120,132,123,124,103,129,113,141,123,116,1s416
FURTO DE VEÍCULO,26,24,35,31,38,53,38,63,37,31,45,49,470
