Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,0,0,0,1,0,0,0,1,2
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,0,0,0,1,0,0,0,1,2
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,1,1,0,0,0,1,0,3
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,1,0,0,0,0,0,1,1,0,0,0,0,3
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,39,39,36,12,36,15,27,15,14,20,16,16,285
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,16,14,6,0,8,0,6,6,9,17,9,11,102
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,7,0,0,1,1,0,0,2,11
LATROCÍNIO,0,1,0,0,0,0,0,0,0,0,0,0,1
Nº DE VÍTIMAS EM LATROCÍNIO,0,1,0,0,0,0,0,0,0,0,0,0,1
TOTAL DE ESTUPRO (4),2,2,0,3,3,0,1,1,0,0,1,1,14
ESTUPRO,0,0,0,1,1,0,0,0,0,0,0,1,3
ESTUPRO DE VULNERÁVEL,2,2,0,2,2,0,1,1,0,0,1,0,11
TOTAL DE ROUBO - OUTROS (1),47,51,76,75,51,49,54,49,53,51,55,64,675
ROUBO - OUTROS,47,50,76,74,51,46,54,48,53,50,55,64,668
ROUBO DE VEÍCULO,8,6,28,16,9,6,8,11,11,9,14,13,139
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,0,1,0,1,0,3,0,1,0,1,0,0,7
FURTO - OUTROS,59,63,91,66,67,66,94,93,85,63,82,80,909
FURTO DE VEÍCULO,11,11,11,16,18,12,14,14,13,23,28,13,184
