Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,0,0,0,0,0,0,0,2,1,0,0,4
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,1,0,0,0,0,0,0,0,0,0,0,0,1
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,10,8,9,12,6,9,12,0,11,17,15,15,124
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,3,0,3,7,5,7,5,8,7,5,5,7,62
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,2,1,0,0,0,8,0,0,0,1,12
LATROCÍNIO,0,0,0,0,0,0,0,0,1,0,0,0,1
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,1,0,0,0,1
TOTAL DE ESTUPRO (4),0,1,0,1,0,0,0,0,0,0,0,2,4
ESTUPRO,0,0,0,0,0,0,0,0,0,0,0,0,0
ESTUPRO DE VULNERÁVEL,0,1,0,1,0,0,0,0,0,0,0,2,4
TOTAL DE ROUBO - OUTROS (1),24,14,54,49,33,35,24,36,49,50,47,58,473
ROUBO - OUTROS,24,14,53,49,29,34,24,35,48,50,47,58,465
ROUBO DE VEÍCULO,4,4,13,9,14,14,4,6,2,11,11,8,100
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,0,0,1,0,4,1,0,1,1,0,0,0,8
FURTO - OUTROS,61,41,77,54,67,74,85,75,54,72,88,92,840
FURTO DE VEÍCULO,70,66,92,60,64,100,77,86,89,102,97,72,975
