Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,0,2,0,0,1,0,0,0,0,1,4
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,2,0,0,1,0,0,0,0,1,4
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,1,0,1,0,0,0,0,3,2,0,1,8
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,0,1,2,0,1,0,0,0,0,0,2,6
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,33,24,39,35,37,33,28,30,28,27,22,23,359
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,5,6,5,10,8,15,16,14,12,12,10,5,118
LESÃO CORPORAL CULPOSA - OUTRAS,1,1,0,0,0,0,0,0,0,0,0,0,2
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),5,0,6,1,2,5,1,5,3,2,2,3,35
ESTUPRO,1,0,3,0,0,2,0,1,1,1,1,0,10
ESTUPRO DE VULNERÁVEL,4,0,3,1,2,3,1,4,2,1,1,3,25
TOTAL DE ROUBO - OUTROS (1),92,93,100,133,113,101,97,103,114,126,122,125,1319
ROUBO - OUTROS,89,92,98,131,108,99,97,100,113,125,122,125,1299
ROUBO DE VEÍCULO,16,15,18,17,14,12,11,8,9,15,15,19,169
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,3,1,2,2,5,2,0,3,1,1,0,0,20
FURTO - OUTROS,125,118,179,172,157,159,151,149,168,171,153,154,1856
FURTO DE VEÍCULO,21,27,40,30,21,44,33,40,40,50,36,33,415
