Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,1,0,0,0,0,1,2,0,0,0,4
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,1,0,0,0,0,1,2,0,0,0,4
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,0,0,1,0,0,0,0,1,0,0,0,3
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,0,1,0,2,0,0,0,0,0,0,1,4
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,27,34,34,24,25,27,28,26,26,28,23,28,330
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,3,7,9,9,10,6,15,4,7,6,9,4,89
LESÃO CORPORAL CULPOSA - OUTRAS,1,0,0,0,0,0,0,0,1,1,1,0,4
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),0,1,4,1,1,1,3,3,0,4,2,0,20
ESTUPRO,0,0,3,0,1,1,1,0,0,1,1,0,8
ESTUPRO DE VULNERÁVEL,0,1,1,1,0,0,2,3,0,3,1,0,12
TOTAL DE ROUBO - OUTROS (1),84,71,117,94,111,94,107,87,83,85,73,85,1091
ROUBO - OUTROS,81,68,113,92,110,93,105,85,81,84,68,82,1062
ROUBO DE VEÍCULO,20,29,30,21,24,22,29,24,13,16,19,11,258
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,3,3,4,2,1,1,2,2,2,1,5,3,29
FURTO - OUTROS,116,102,148,125,115,121,117,102,111,128,115,123,1423
FURTO DE VEÍCULO,28,34,53,44,23,26,44,30,25,26,46,40,419
