Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),1,1,2,0,2,0,1,1,2,0,2,2,14
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,1,2,0,2,0,1,1,2,0,2,2,14
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,0,0,0,0,0,0,0,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,0,1,0,0,1,0,0,1,3
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,0,0,0,0,0,0,0,0,0
TENTATIVA DE HOMICÍDIO,0,0,1,1,0,1,0,0,2,5,2,1,13
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,0,0,0,0,0,0,0,0,0
LESÃO CORPORAL DOLOSA,37,38,38,63,41,47,43,31,28,50,34,36,486
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,10,15,8,9,10,14,10,20,12,5,12,4,129
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,1,1,1,0,0,0,0,0,0,3
LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL DE ESTUPRO (4),2,2,10,4,7,2,9,4,6,7,3,3,59
ESTUPRO,0,0,3,0,1,0,1,0,1,1,2,1,10
ESTUPRO DE VULNERÁVEL,2,2,7,4,6,2,8,4,5,6,1,2,49
TOTAL DE ROUBO - OUTROS (1),207,150,169,154,171,173,172,201,176,165,145,206,2089
ROUBO - OUTROS,204,150,168,153,170,173,171,198,175,162,143,203,2070
ROUBO DE VEÍCULO,26,18,36,25,32,32,29,32,27,32,46,31,366
ROUBO A BANCO,0,0,0,0,0,0,0,0,0,0,0,0,0
ROUBO DE CARGA,3,0,1,1,1,0,1,3,1,3,2,3,19
FURTO - OUTROS,163,134,132,103,117,136,158,135,110,143,135,127,1593
FURTO DE VEÍCULO,20,9,15,17,18,15,20,17,25,15,14,19,204
