Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,1,1,1,...,...,...,...,...,...,...,...,3
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,...,...,...,...,...,...,...,...,0
TENTATIVA DE HOMICÍDIO,0,1,1,0,...,...,...,...,...,...,...,...,2
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,...,...,...,...,...,...,...,...,0
LESÃO CORPORAL DOLOSA,8,15,24,19,...,...,...,...,...,...,...,...,66
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,1,9,9,8,...,...,...,...,...,...,...,...,27
LESÃO CORPORAL CULPOSA - OUTRAS,0,1,2,1,...,...,...,...,...,...,...,...,4
LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
TOTAL DE ESTUPRO (4),2,4,3,0,...,...,...,...,...,...,...,...,9
ESTUPRO,1,0,1,0,...,...,...,...,...,...,...,...,2
ESTUPRO DE VULNERÁVEL,1,4,2,0,...,...,...,...,...,...,...,...,7
TOTAL DE ROUBO - OUTROS (1),108,130,165,148,...,...,...,...,...,...,...,...,551
ROUBO - OUTROS,105,127,165,146,...,...,...,...,...,...,...,...,543
ROUBO DE VEÍCULO,3,4,9,8,...,...,...,...,...,...,...,...,24
ROUBO A BANCO,0,0,0,0,...,...,...,...,...,...,...,...,0
ROUBO DE CARGA,3,3,0,2,...,...,...,...,...,...,...,...,8
FURTO - OUTROS,299,295,359,329,...,...,...,...,...,...,...,...,1.282
FURTO DE VEÍCULO,69,74,97,77,...,...,...,...,...,...,...,...,317
