Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,1,1,0,...,...,...,...,...,...,...,...,2
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,...,...,...,...,...,...,...,...,0
TENTATIVA DE HOMICÍDIO,0,1,1,0,...,...,...,...,...,...,...,...,2
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,...,...,...,...,...,...,...,...,0
LESÃO CORPORAL DOLOSA,36,42,30,33,...,...,...,...,...,...,...,...,141
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,7,10,7,9,...,...,...,...,...,...,...,...,33
LESÃO CORPORAL CULPOSA - OUTRAS,1,0,0,0,...,...,...,...,...,...,...,...,1
LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
TOTAL DE ESTUPRO (4),2,1,0,3,...,...,...,...,...,...,...,...,6
ESTUPRO,1,0,0,1,...,...,...,...,...,...,...,...,2
ESTUPRO DE VULNERÁVEL,1,1,0,2,...,...,...,...,...,...,...,...,4
TOTAL DE ROUBO - OUTROS (1),103,90,127,88,...,...,...,...,...,...,...,...,408
ROUBO - OUTROS,101,86,126,88,...,...,...,...,...,...,...,...,401
ROUBO DE VEÍCULO,7,1,1,4,...,...,...,...,...,...,...,...,13
ROUBO A BANCO,0,0,0,0,...,...,...,...,...,...,...,...,0
ROUBO DE CARGA,2,4,1,0,...,...,...,...,...,...,...,...,7
FURTO - OUTROS,309,344,438,295,...,...,...,...,...,...,...,...,1.386
FURTO DE VEÍCULO,35,36,44,29,...,...,...,...,...,...,...,...,144
