Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),1,1,1,1,...,...,...,...,...,...,...,...,4
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,1,1,1,...,...,...,...,...,...,...,...,4
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,0,1,0,...,...,...,...,...,...,...,...,2
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,...,...,...,...,...,...,...,...,0
TENTATIVA DE HOMICÍDIO,2,2,0,2,...,...,...,...,...,...,...,...,6
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,...,...,...,...,...,...,...,...,0
LESÃO CORPORAL DOLOSA,32,35,43,38,...,...,...,...,...,...,...,...,148
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,7,9,21,19,...,...,...,...,...,...,...,...,56
LESÃO CORPORAL CULPOSA - OUTRAS,2,3,0,2,...,...,...,...,...,...,...,...,7
LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
TOTAL DE ESTUPRO (4),1,1,3,1,...,...,...,...,...,...,...,...,6
ESTUPRO,0,0,1,1,...,...,...,...,...,...,...,...,2
ESTUPRO DE VULNERÁVEL,1,1,2,0,...,...,...,...,...,...,...,...,4
TOTAL DE ROUBO - OUTROS (1),202,208,265,235,...,...,...,...,...,...,...,...,910
ROUBO - OUTROS,192,198,253,224,...,...,...,...,...,...,...,...,867
ROUBO DE VEÍCULO,3,9,8,9,...,...,...,...,...,...,...,...,29
ROUBO A BANCO,0,0,0,0,...,...,...,...,...,...,...,...,0
ROUBO DE CARGA,10,10,12,11,...,...,...,...,...,...,...,...,43
FURTO - OUTROS,586,498,634,712,...,...,...,...,...,...,...,...,2.43
FURTO DE VEÍCULO,36,23,27,25,...,...,...,...,...,...,...,...,111
