Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,1,0,2,...,...,...,...,...,...,...,...,3
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,1,0,2,...,...,...,...,...,...,...,...,3
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,0,1,...,...,...,...,...,...,...,...,1
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,...,...,...,...,...,...,...,...,0
TENTATIVA DE HOMICÍDIO,0,1,0,0,...,...,...,...,...,...,...,...,1
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,...,...,...,...,...,...,...,...,0
LESÃO CORPORAL DOLOSA,28,30,36,47,...,...,...,...,...,...,...,...,141
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,20,17,18,9,...,...,...,...,...,...,...,...,64
LESÃO CORPORAL CULPOSA - OUTRAS,0,1,2,1,...,...,...,...,...,...,...,...,4
LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
TOTAL DE ESTUPRO (4),1,3,4,3,...,...,...,...,...,...,...,...,11
ESTUPRO,1,1,1,0,...,...,...,...,...,...,...,...,3
ESTUPRO DE VULNERÁVEL,0,2,3,3,...,...,...,...,...,...,...,...,8
TOTAL DE ROUBO - OUTROS (1),64,64,57,52,...,...,...,...,...,...,...,...,237
ROUBO - OUTROS,64,62,56,49,...,...,...,...,...,...,...,...,231
ROUBO DE VEÍCULO,6,11,10,8,...,...,...,...,...,...,...,...,35
ROUBO A BANCO,0,0,0,0,...,...,...,...,...,...,...,...,0
ROUBO DE CARGA,0,2,1,3,...,...,...,...,...,...,...,...,6
FURTO - OUTROS,126,92,143,133,...,...,...,...,...,...,...,...,494
FURTO DE VEÍCULO,37,29,39,26,...,...,...,...,...,...,...,...,131
