Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,0,1,0,...,...,...,...,...,...,...,...,1
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,...,...,...,...,...,...,...,...,0
TENTATIVA DE HOMICÍDIO,0,0,0,0,...,...,...,...,...,...,...,...,0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,...,...,...,...,...,...,...,...,0
LESÃO CORPORAL DOLOSA,8,11,18,16,...,...,...,...,...,...,...,...,53
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,1,6,5,4,...,...,...,...,...,...,...,...,16
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,1,0,...,...,...,...,...,...,...,...,1
LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
TOTAL DE ESTUPRO (4),0,2,0,1,...,...,...,...,...,...,...,...,3
ESTUPRO,0,1,0,0,...,...,...,...,...,...,...,...,1
ESTUPRO DE VULNERÁVEL,0,1,0,1,...,...,...,...,...,...,...,...,2
TOTAL DE ROUBO - OUTROS (1),37,27,46,33,...,...,...,...,...,...,...,...,143
ROUBO - OUTROS,37,27,46,33,...,...,...,...,...,...,...,...,143
ROUBO DE VEÍCULO,5,5,8,6,...,...,...,...,...,...,...,...,24
ROUBO A BANCO,0,0,0,0,...,...,...,...,...,...,...,...,0
ROUBO DE CARGA,0,0,0,0,...,...,...,...,...,...,...,...,0
FURTO - OUTROS,66,50,67,51,...,...,...,...,...,...,...,...,234
FURTO DE VEÍCULO,73,58,66,70,...,...,...,...,...,...,...,...,267
