Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,0,1,0,...,...,...,...,...,...,...,...,2
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,...,...,...,...,...,...,...,...,0
TENTATIVA DE HOMICÍDIO,0,0,0,0,...,...,...,...,...,...,...,...,0
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,1,...,...,...,...,...,...,...,...,1
LESÃO CORPORAL DOLOSA,21,25,23,23,...,...,...,...,...,...,...,...,92
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,12,14,13,11,...,...,...,...,...,...,...,...,50
LESÃO CORPORAL CULPOSA - OUTRAS,1,1,1,1,...,...,...,...,...,...,...,...,4
LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
TOTAL DE ESTUPRO (4),1,1,0,2,...,...,...,...,...,...,...,...,4
ESTUPRO,0,1,0,0,...,...,...,...,...,...,...,...,1
ESTUPRO DE VULNERÁVEL,1,0,0,2,...,...,...,...,...,...,...,...,3
TOTAL DE ROUBO - OUTROS (1),135,106,133,102,...,...,...,...,...,...,...,...,476
ROUBO - OUTROS,134,105,130,99,...,...,...,...,...,...,...,...,468
ROUBO DE VEÍCULO,9,15,23,16,...,...,...,...,...,...,...,...,63
ROUBO A BANCO,0,0,0,0,...,...,...,...,...,...,...,...,0
ROUBO DE CARGA,1,1,3,3,...,...,...,...,...,...,...,...,8
FURTO - OUTROS,224,208,240,221,...,...,...,...,...,...,...,...,893
FURTO DE VEÍCULO,120,117,145,110,...,...,...,...,...,...,...,...,492
