Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),1,0,0,1,...,...,...,...,...,...,...,...,2
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,0,0,1,...,...,...,...,...,...,...,...,2
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,2,3,1,...,...,...,...,...,...,...,...,7
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,...,...,...,...,...,...,...,...,0
TENTATIVA DE HOMICÍDIO,0,0,0,2,...,...,...,...,...,...,...,...,2
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,...,...,...,...,...,...,...,...,0
LESÃO CORPORAL DOLOSA,24,24,25,29,...,...,...,...,...,...,...,...,102
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,18,16,15,15,...,...,...,...,...,...,...,...,64
LESÃO CORPORAL CULPOSA - OUTRAS,2,0,0,2,...,...,...,...,...,...,...,...,4
LATROCÍNIO,0,1,0,0,...,...,...,...,...,...,...,...,1
Nº DE VÍTIMAS EM LATROCÍNIO,0,1,0,0,...,...,...,...,...,...,...,...,1
TOTAL DE ESTUPRO (4),2,3,2,0,...,...,...,...,...,...,...,...,7
ESTUPRO,0,0,2,0,...,...,...,...,...,...,...,...,2
ESTUPRO DE VULNERÁVEL,2,3,0,0,...,...,...,...,...,...,...,...,5
TOTAL DE ROUBO - OUTROS (1),77,81,94,67,...,...,...,...,...,...,...,...,319
ROUBO - OUTROS,68,75,85,63,...,...,...,...,...,...,...,...,291
ROUBO DE VEÍCULO,17,15,26,23,...,...,...,...,...,...,...,...,81
ROUBO A BANCO,0,0,0,0,...,...,...,...,...,...,...,...,0
ROUBO DE CARGA,9,6,9,4,...,...,...,...,...,...,...,...,28
FURTO - OUTROS,103,107,110,102,...,...,...,...,...,...,...,...,422
FURTO DE VEÍCULO,58,45,46,53,...,...,...,...,...,...,...,...,202
