Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,1,1,...,...,...,...,...,...,...,...,2
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,1,1,...,...,...,...,...,...,...,...,2
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,1,1,2,...,...,...,...,...,...,...,...,4
HOMICÍDIO CULPOSO OUTROS,1,0,0,0,...,...,...,...,...,...,...,...,1
TENTATIVA DE HOMICÍDIO,2,2,2,1,...,...,...,...,...,...,...,...,7
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,...,...,...,...,...,...,...,...,0
LESÃO CORPORAL DOLOSA,20,19,19,20,...,...,...,...,...,...,...,...,78
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,7,10,23,28,...,...,...,...,...,...,...,...,68
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,2,0,...,...,...,...,...,...,...,...,2
LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
TOTAL DE ESTUPRO (4),1,3,0,2,...,...,...,...,...,...,...,...,6
ESTUPRO,0,2,0,0,...,...,...,...,...,...,...,...,2
ESTUPRO DE VULNERÁVEL,1,1,0,2,...,...,...,...,...,...,...,...,4
TOTAL DE ROUBO - OUTROS (1),103,105,154,132,...,...,...,...,...,...,...,...,494
ROUBO - OUTROS,101,103,150,131,...,...,...,...,...,...,...,...,485
ROUBO DE VEÍCULO,10,14,15,20,...,...,...,...,...,...,...,...,59
ROUBO A BANCO,0,0,0,0,...,...,...,...,...,...,...,...,0
ROUBO DE CARGA,2,2,4,1,...,...,...,...,...,...,...,...,9
FURTO - OUTROS,174,192,404,186,...,...,...,...,...,...,...,...,956
FURTO DE VEÍCULO,26,45,49,41,...,...,...,...,...,...,...,...,161
