Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),2,0,1,1,...,...,...,...,...,...,...,...,4
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),2,0,1,1,...,...,...,...,...,...,...,...,4
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,3,1,2,2,...,...,...,...,...,...,...,...,8
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,...,...,...,...,...,...,...,...,0
TENTATIVA DE HOMICÍDIO,5,2,1,1,...,...,...,...,...,...,...,...,9
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,...,...,...,...,...,...,...,...,0
LESÃO CORPORAL DOLOSA,40,58,72,56,...,...,...,...,...,...,...,...,226
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,18,21,15,19,...,...,...,...,...,...,...,...,73
LESÃO CORPORAL CULPOSA - OUTRAS,0,1,1,1,...,...,...,...,...,...,...,...,3
LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
TOTAL DE ESTUPRO (4),6,3,8,6,...,...,...,...,...,...,...,...,23
ESTUPRO,1,1,2,3,...,...,...,...,...,...,...,...,7
ESTUPRO DE VULNERÁVEL,5,2,6,3,...,...,...,...,...,...,...,...,16
TOTAL DE ROUBO - OUTROS (1),165,175,192,103,...,...,...,...,...,...,...,...,635
ROUBO - OUTROS,155,163,173,93,...,...,...,...,...,...,...,...,584
ROUBO DE VEÍCULO,42,43,42,38,...,...,...,...,...,...,...,...,165
ROUBO A BANCO,0,0,0,0,...,...,...,...,...,...,...,...,0
ROUBO DE CARGA,10,12,19,10,...,...,...,...,...,...,...,...,51
FURTO - OUTROS,146,139,169,163,...,...,...,...,...,...,...,...,617
FURTO DE VEÍCULO,40,33,38,19,...,...,...,...,...,...,...,...,130
