Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,1,0,1,...,...,...,...,...,...,...,...,2
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,1,0,1,...,...,...,...,...,...,...,...,2
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,1,0,1,...,...,...,...,...,...,...,...,3
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,...,...,...,...,...,...,...,...,0
TENTATIVA DE HOMICÍDIO,1,0,1,0,...,...,...,...,...,...,...,...,2
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,...,...,...,...,...,...,...,...,0
LESÃO CORPORAL DOLOSA,17,15,16,12,...,...,...,...,...,...,...,...,60
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,9,5,6,12,...,...,...,...,...,...,...,...,32
LESÃO CORPORAL CULPOSA - OUTRAS,0,0,0,0,...,...,...,...,...,...,...,...,0
LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
TOTAL DE ESTUPRO (4),2,0,2,3,...,...,...,...,...,...,...,...,7
ESTUPRO,0,0,1,0,...,...,...,...,...,...,...,...,1
ESTUPRO DE VULNERÁVEL,2,0,1,3,...,...,...,...,...,...,...,...,6
TOTAL DE ROUBO - OUTROS (1),89,76,108,59,...,...,...,...,...,...,...,...,332
ROUBO - OUTROS,87,73,103,58,...,...,...,...,...,...,...,...,321
ROUBO DE VEÍCULO,9,15,13,15,...,...,...,...,...,...,...,...,52
ROUBO A BANCO,0,0,0,0,...,...,...,...,...,...,...,...,0
ROUBO DE CARGA,2,3,5,1,...,...,...,...,...,...,...,...,11
FURTO - OUTROS,83,81,688,141,...,...,...,...,...,...,...,...,993
FURTO DE VEÍCULO,13,6,15,8,...,...,...,...,...,...,...,...,42
