Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),1,0,0,1,...,...,...,...,...,...,...,...,2
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1,0,0,2,...,...,...,...,...,...,...,...,3
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1,0,2,2,...,...,...,...,...,...,...,...,5
HOMICÍDIO CULPOSO OUTROS,0,1,0,1,...,...,...,...,...,...,...,...,2
TENTATIVA DE HOMICÍDIO,0,2,0,1,...,...,...,...,...,...,...,...,3
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,...,...,...,...,...,...,...,...,0
LESÃO CORPORAL DOLOSA,40,27,29,30,...,...,...,...,...,...,...,...,126
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,14,9,15,11,...,...,...,...,...,...,...,...,49
LESÃO CORPORAL CULPOSA - OUTRAS,1,1,1,1,...,...,...,...,...,...,...,...,4
LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
TOTAL DE ESTUPRO (4),5,2,1,2,...,...,...,...,...,...,...,...,10
ESTUPRO,2,1,0,0,...,...,...,...,...,...,...,...,3
ESTUPRO DE VULNERÁVEL,3,1,1,2,...,...,...,...,...,...,...,...,7
TOTAL DE ROUBO - OUTROS (1),100,78,92,76,...,...,...,...,...,...,...,...,346
ROUBO - OUTROS,97,77,88,73,...,...,...,...,...,...,...,...,335
ROUBO DE VEÍCULO,36,29,24,24,...,...,...,...,...,...,...,...,113
ROUBO A BANCO,0,0,0,0,...,...,...,...,...,...,...,...,0
ROUBO DE CARGA,3,1,4,3,...,...,...,...,...,...,...,...,11
FURTO - OUTROS,121,117,147,145,...,...,...,...,...,...,...,...,530
FURTO DE VEÍCULO,65,49,59,41,...,...,...,...,...,...,...,...,214
