Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,1,0,0,...,...,...,...,...,...,...,...,1
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,...,...,...,...,...,...,...,...,0
TENTATIVA DE HOMICÍDIO,0,0,1,1,...,...,...,...,...,...,...,...,2
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,...,...,...,...,...,...,...,...,0
LESÃO CORPORAL DOLOSA,19,19,21,19,...,...,...,...,...,...,...,...,78
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,9,3,11,8,...,...,...,...,...,...,...,...,31
LESÃO CORPORAL CULPOSA - OUTRAS,1,0,0,1,...,...,...,...,...,...,...,...,2
LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
TOTAL DE ESTUPRO (4),4,2,0,1,...,...,...,...,...,...,...,...,7
ESTUPRO,2,0,0,1,...,...,...,...,...,...,...,...,3
ESTUPRO DE VULNERÁVEL,2,2,0,0,...,...,...,...,...,...,...,...,4
TOTAL DE ROUBO - OUTROS (1),64,55,93,64,...,...,...,...,...,...,...,...,276
ROUBO - OUTROS,61,55,91,64,...,...,...,...,...,...,...,...,271
ROUBO DE VEÍCULO,9,16,18,7,...,...,...,...,...,...,...,...,50
ROUBO A BANCO,0,0,0,0,...,...,...,...,...,...,...,...,0
ROUBO DE CARGA,3,0,2,0,...,...,...,...,...,...,...,...,5
FURTO - OUTROS,127,87,130,144,...,...,...,...,...,...,...,...,488
FURTO DE VEÍCULO,60,55,85,61,...,...,...,...,...,...,...,...,261
