Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),4,3,3,3,...,...,...,...,...,...,...,...,13
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),4,6,3,3,...,...,...,...,...,...,...,...,16
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,1,0,0,...,...,...,...,...,...,...,...,1
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,4,0,0,...,...,...,...,...,...,...,...,4
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,1,0,3,...,...,...,...,...,...,...,...,4
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,...,...,...,...,...,...,...,...,0
TENTATIVA DE HOMICÍDIO,2,3,0,1,...,...,...,...,...,...,...,...,6
LESÃO CORPORAL SEGUIDA DE MORTE,1,0,0,0,...,...,...,...,...,...,...,...,1
LESÃO CORPORAL DOLOSA,62,62,57,49,...,...,...,...,...,...,...,...,230
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,25,14,21,26,...,...,...,...,...,...,...,...,86
LESÃO CORPORAL CULPOSA - OUTRAS,1,1,2,2,...,...,...,...,...,...,...,...,6
LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
TOTAL DE ESTUPRO (4),3,2,6,8,...,...,...,...,...,...,...,...,19
ESTUPRO,1,1,2,3,...,...,...,...,...,...,...,...,7
ESTUPRO DE VULNERÁVEL,2,1,4,5,...,...,...,...,...,...,...,...,12
TOTAL DE ROUBO - OUTROS (1),224,208,235,206,...,...,...,...,...,...,...,...,873
ROUBO - OUTROS,219,204,232,199,...,...,...,...,...,...,...,...,854
ROUBO DE VEÍCULO,17,18,28,20,...,...,...,...,...,...,...,...,83
ROUBO A BANCO,0,0,0,0,...,...,...,...,...,...,...,...,0
ROUBO DE CARGA,5,4,3,7,...,...,...,...,...,...,...,...,19
FURTO - OUTROS,204,182,236,228,...,...,...,...,...,...,...,...,850
FURTO DE VEÍCULO,29,25,31,26,...,...,...,...,...,...,...,...,111
