Ocorrencia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
HOMICÍDIO DOLOSO (2),0,1,1,0,...,...,...,...,...,...,...,...,2
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0,1,1,0,...,...,...,...,...,...,...,...,2
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,0,0,...,...,...,...,...,...,...,...,0
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0,1,1,0,...,...,...,...,...,...,...,...,2
HOMICÍDIO CULPOSO OUTROS,0,0,0,0,...,...,...,...,...,...,...,...,0
TENTATIVA DE HOMICÍDIO,0,1,0,0,...,...,...,...,...,...,...,...,1
LESÃO CORPORAL SEGUIDA DE MORTE,0,0,0,0,...,...,...,...,...,...,...,...,0
LESÃO CORPORAL DOLOSA,8,7,15,18,...,...,...,...,...,...,...,...,48
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,7,10,10,10,...,...,...,...,...,...,...,...,37
LESÃO CORPORAL CULPOSA - OUTRAS,2,0,0,0,...,...,...,...,...,...,...,...,2
LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
Nº DE VÍTIMAS EM LATROCÍNIO,0,0,0,0,...,...,...,...,...,...,...,...,0
TOTAL DE ESTUPRO (4),0,2,1,0,...,...,...,...,...,...,...,...,3
ESTUPRO,0,2,0,0,...,...,...,...,...,...,...,...,2
ESTUPRO DE VULNERÁVEL,0,0,1,0,...,...,...,...,...,...,...,...,1
TOTAL DE ROUBO - OUTROS (1),56,59,66,47,...,...,...,...,...,...,...,...,228
ROUBO - OUTROS,54,54,63,45,...,...,...,...,...,...,...,...,216
ROUBO DE VEÍCULO,7,5,20,8,...,...,...,...,...,...,...,...,40
ROUBO A BANCO,0,0,0,0,...,...,...,...,...,...,...,...,0
ROUBO DE CARGA,2,5,3,2,...,...,...,...,...,...,...,...,12
FURTO - OUTROS,87,86,87,108,...,...,...,...,...,...,...,...,368
FURTO DE VEÍCULO,23,17,25,14,...,...,...,...,...,...,...,...,79
