Categoria: Comercial e industrial

Semana,tatuapé são paulo: (Mundo)
2022-01-02,36
2022-01-09,62
2022-01-16,100
2022-01-23,67
2022-01-30,30
2022-02-06,0
2022-02-13,43
2022-02-20,59
2022-02-27,25
2022-03-06,43
2022-03-13,0
2022-03-20,0
2022-03-27,20
2022-04-03,33
2022-04-10,0
2022-04-17,20
2022-04-24,17
2022-05-01,0
2022-05-08,34
2022-05-15,30
2022-05-22,35
2022-05-29,0
2022-06-05,66
2022-06-12,0
2022-06-19,41
2022-06-26,0
2022-07-03,18
2022-07-10,25
2022-07-17,0
2022-07-24,42
2022-07-31,32
2022-08-07,27
2022-08-14,0
2022-08-21,0
2022-08-28,27
2022-09-04,0
2022-09-11,0
2022-09-18,26
2022-09-25,40
2022-10-02,0
2022-10-09,65
2022-10-16,32
2022-10-23,27
2022-10-30,24
2022-11-06,55
2022-11-13,0
2022-11-20,0
2022-11-27,53
2022-12-04,53
2022-12-11,18
2022-12-18,40
2022-12-25,29
