Categoria: Comercial e industrial

Semana,campo grande são paulo: (Mundo)
2022-01-02,0
2022-01-09,0
2022-01-16,28
2022-01-23,0
2022-01-30,26
2022-02-06,45
2022-02-13,18
2022-02-20,37
2022-02-27,0
2022-03-06,0
2022-03-13,36
2022-03-20,37
2022-03-27,0
2022-04-03,29
2022-04-10,0
2022-04-17,19
2022-04-24,41
2022-05-01,47
2022-05-08,26
2022-05-15,0
2022-05-22,0
2022-05-29,20
2022-06-05,100
2022-06-12,0
2022-06-19,24
2022-06-26,43
2022-07-03,0
2022-07-10,0
2022-07-17,27
2022-07-24,44
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,24
2022-08-28,0
2022-09-04,61
2022-09-11,0
2022-09-18,25
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,38
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,17
2022-12-04,0
2022-12-11,68
2022-12-18,29
2022-12-25,29
