Categoria: Compras

Semana,brás são paulo: (Mundo)
2022-01-02,56
2022-01-09,45
2022-01-16,42
2022-01-23,58
2022-01-30,50
2022-02-06,53
2022-02-13,46
2022-02-20,47
2022-02-27,51
2022-03-06,43
2022-03-13,56
2022-03-20,43
2022-03-27,52
2022-04-03,61
2022-04-10,59
2022-04-17,67
2022-04-24,52
2022-05-01,66
2022-05-08,66
2022-05-15,86
2022-05-22,100
2022-05-29,74
2022-06-05,58
2022-06-12,65
2022-06-19,66
2022-06-26,47
2022-07-03,63
2022-07-10,56
2022-07-17,63
2022-07-24,63
2022-07-31,56
2022-08-07,66
2022-08-14,55
2022-08-21,56
2022-08-28,64
2022-09-04,56
2022-09-11,55
2022-09-18,67
2022-09-25,67
2022-10-02,53
2022-10-09,55
2022-10-16,43
2022-10-23,58
2022-10-30,51
2022-11-06,49
2022-11-13,41
2022-11-20,55
2022-11-27,53
2022-12-04,49
2022-12-11,60
2022-12-18,43
2022-12-25,29
