Categoria: Empregos e educação

Semana,casa verde são paulo: (Mundo)
2022-01-02,0
2022-01-09,100
2022-01-16,0
2022-01-23,56
2022-01-30,0
2022-02-06,22
2022-02-13,25
2022-02-20,0
2022-02-27,47
2022-03-06,30
2022-03-13,27
2022-03-20,25
2022-03-27,23
2022-04-03,65
2022-04-10,0
2022-04-17,56
2022-04-24,0
2022-05-01,27
2022-05-08,16
2022-05-15,0
2022-05-22,50
2022-05-29,32
2022-06-05,42
2022-06-12,0
2022-06-19,0
2022-06-26,31
2022-07-03,26
2022-07-10,0
2022-07-17,69
2022-07-24,26
2022-07-31,36
2022-08-07,19
2022-08-14,53
2022-08-21,71
2022-08-28,31
2022-09-04,0
2022-09-11,0
2022-09-18,49
2022-09-25,49
2022-10-02,0
2022-10-09,23
2022-10-16,25
2022-10-23,30
2022-10-30,23
2022-11-06,46
2022-11-13,44
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,20
2022-12-18,22
2022-12-25,0
