Categoria: Notícias

Semana,socorro são paulo: (Mundo)
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,67
2022-02-13,24
2022-02-20,33
2022-02-27,37
2022-03-06,41
2022-03-13,27
2022-03-20,0
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,70
2022-04-24,21
2022-05-01,0
2022-05-08,0
2022-05-15,77
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,84
2022-06-19,56
2022-06-26,43
2022-07-03,0
2022-07-10,77
2022-07-17,0
2022-07-24,37
2022-07-31,25
2022-08-07,0
2022-08-14,62
2022-08-21,35
2022-08-28,0
2022-09-04,85
2022-09-11,53
2022-09-18,0
2022-09-25,53
2022-10-02,76
2022-10-09,100
2022-10-16,35
2022-10-23,0
2022-10-30,95
2022-11-06,0
2022-11-13,60
2022-11-20,0
2022-11-27,0
2022-12-04,93
2022-12-11,31
2022-12-18,0
2022-12-25,0
