Categoria: Todas as categorias

Semana,pari são paulo: (Mundo)
2022-01-02,37
2022-01-09,27
2022-01-16,54
2022-01-23,58
2022-01-30,0
2022-02-06,53
2022-02-13,76
2022-02-20,61
2022-02-27,71
2022-03-06,35
2022-03-13,54
2022-03-20,0
2022-03-27,72
2022-04-03,60
2022-04-10,0
2022-04-17,36
2022-04-24,20
2022-05-01,61
2022-05-08,46
2022-05-15,52
2022-05-22,32
2022-05-29,42
2022-06-05,77
2022-06-12,100
2022-06-19,45
2022-06-26,56
2022-07-03,73
2022-07-10,60
2022-07-17,51
2022-07-24,90
2022-07-31,28
2022-08-07,85
2022-08-14,46
2022-08-21,44
2022-08-28,0
2022-09-04,67
2022-09-11,51
2022-09-18,74
2022-09-25,58
2022-10-02,59
2022-10-09,28
2022-10-16,0
2022-10-23,16
2022-10-30,56
2022-11-06,39
2022-11-13,49
2022-11-20,15
2022-11-27,12
2022-12-04,35
2022-12-11,20
2022-12-18,53
2022-12-25,32
