Categoria: Todas as categorias

Semana,pinheiros são paulo: (Mundo)
2022-01-02,47
2022-01-09,77
2022-01-16,63
2022-01-23,73
2022-01-30,58
2022-02-06,82
2022-02-13,73
2022-02-20,58
2022-02-27,78
2022-03-06,92
2022-03-13,92
2022-03-20,81
2022-03-27,82
2022-04-03,78
2022-04-10,85
2022-04-17,87
2022-04-24,77
2022-05-01,58
2022-05-08,71
2022-05-15,82
2022-05-22,67
2022-05-29,94
2022-06-05,75
2022-06-12,75
2022-06-19,96
2022-06-26,88
2022-07-03,84
2022-07-10,68
2022-07-17,82
2022-07-24,100
2022-07-31,75
2022-08-07,84
2022-08-14,93
2022-08-21,97
2022-08-28,88
2022-09-04,75
2022-09-11,87
2022-09-18,96
2022-09-25,71
2022-10-02,83
2022-10-09,85
2022-10-16,66
2022-10-23,85
2022-10-30,90
2022-11-06,75
2022-11-13,96
2022-11-20,57
2022-11-27,69
2022-12-04,66
2022-12-11,78
2022-12-18,61
2022-12-25,73
