Categoria: Todas as categorias

Semana,água fria são paulo: (Mundo)
2022-01-02,0
2022-01-09,69
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,19
2022-02-27,31
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,32
2022-04-03,0
2022-04-10,0
2022-04-17,37
2022-04-24,40
2022-05-01,43
2022-05-08,70
2022-05-15,50
2022-05-22,0
2022-05-29,0
2022-06-05,40
2022-06-12,21
2022-06-19,21
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,26
2022-08-14,0
2022-08-21,43
2022-08-28,28
2022-09-04,0
2022-09-11,49
2022-09-18,0
2022-09-25,37
2022-10-02,0
2022-10-09,20
2022-10-16,0
2022-10-23,100
2022-10-30,0
2022-11-06,26
2022-11-13,0
2022-11-20,41
2022-11-27,30
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,0
