Categoria: Todas as categorias

Semana,vila mariana são paulo: (Mundo)
2022-01-02,79
2022-01-09,51
2022-01-16,57
2022-01-23,62
2022-01-30,66
2022-02-06,94
2022-02-13,95
2022-02-20,73
2022-02-27,62
2022-03-06,82
2022-03-13,70
2022-03-20,68
2022-03-27,100
2022-04-03,66
2022-04-10,55
2022-04-17,74
2022-04-24,66
2022-05-01,74
2022-05-08,79
2022-05-15,81
2022-05-22,66
2022-05-29,70
2022-06-05,58
2022-06-12,63
2022-06-19,100
2022-06-26,40
2022-07-03,86
2022-07-10,80
2022-07-17,99
2022-07-24,73
2022-07-31,82
2022-08-07,79
2022-08-14,78
2022-08-21,53
2022-08-28,85
2022-09-04,63
2022-09-11,78
2022-09-18,60
2022-09-25,80
2022-10-02,73
2022-10-09,90
2022-10-16,78
2022-10-23,66
2022-10-30,53
2022-11-06,57
2022-11-13,19
2022-11-20,56
2022-11-27,47
2022-12-04,68
2022-12-11,58
2022-12-18,63
2022-12-25,25
