Categoria: Todas as categorias

Semana,vila brasilândia são paulo: (Mundo)
2022-01-02,70
2022-01-09,49
2022-01-16,44
2022-01-23,0
2022-01-30,74
2022-02-06,0
2022-02-13,37
2022-02-20,54
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,32
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,33
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,37
2022-07-03,0
2022-07-10,0
2022-07-17,46
2022-07-24,45
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,36
2022-09-11,34
2022-09-18,0
2022-09-25,100
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,46
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,46
2022-12-11,36
2022-12-18,0
2022-12-25,0
