Categoria: Todas as categorias

Semana,parque do carmo são paulo: (Mundo)
2022-01-02,0
2022-01-09,52
2022-01-16,42
2022-01-23,0
2022-01-30,0
2022-02-06,66
2022-02-13,63
2022-02-20,0
2022-02-27,64
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,0
2022-04-03,18
2022-04-10,33
2022-04-17,22
2022-04-24,0
2022-05-01,91
2022-05-08,0
2022-05-15,0
2022-05-22,51
2022-05-29,0
2022-06-05,77
2022-06-12,0
2022-06-19,38
2022-06-26,71
2022-07-03,59
2022-07-10,66
2022-07-17,100
2022-07-24,33
2022-07-31,53
2022-08-07,45
2022-08-14,25
2022-08-21,20
2022-08-28,0
2022-09-04,55
2022-09-11,33
2022-09-18,42
2022-09-25,45
2022-10-02,0
2022-10-09,25
2022-10-16,0
2022-10-23,0
2022-10-30,0
2022-11-06,65
2022-11-13,0
2022-11-20,0
2022-11-27,22
2022-12-04,47
2022-12-11,0
2022-12-18,38
2022-12-25,98
