Categoria: Artes e entretenimento

Semana,belém são paulo: (Mundo)
2022-01-02,75
2022-01-09,66
2022-01-16,58
2022-01-23,0
2022-01-30,26
2022-02-06,0
2022-02-13,16
2022-02-20,43
2022-02-27,42
2022-03-06,0
2022-03-13,29
2022-03-20,100
2022-03-27,30
2022-04-03,25
2022-04-10,0
2022-04-17,15
2022-04-24,36
2022-05-01,35
2022-05-08,23
2022-05-15,38
2022-05-22,28
2022-05-29,84
2022-06-05,66
2022-06-12,0
2022-06-19,72
2022-06-26,49
2022-07-03,0
2022-07-10,28
2022-07-17,0
2022-07-24,59
2022-07-31,21
2022-08-07,0
2022-08-14,61
2022-08-21,0
2022-08-28,30
2022-09-04,0
2022-09-11,0
2022-09-18,40
2022-09-25,59
2022-10-02,29
2022-10-09,34
2022-10-16,23
2022-10-23,0
2022-10-30,25
2022-11-06,37
2022-11-13,0
2022-11-20,32
2022-11-27,53
2022-12-04,0
2022-12-11,0
2022-12-18,28
2022-12-25,0
