Categoria: Comercial e industrial

Semana,ipiranga são paulo: (Mundo)
2022-01-02,100
2022-01-09,67
2022-01-16,66
2022-01-23,0
2022-01-30,26
2022-02-06,36
2022-02-13,40
2022-02-20,0
2022-02-27,55
2022-03-06,52
2022-03-13,55
2022-03-20,52
2022-03-27,31
2022-04-03,0
2022-04-10,39
2022-04-17,0
2022-04-24,52
2022-05-01,61
2022-05-08,69
2022-05-15,29
2022-05-22,47
2022-05-29,24
2022-06-05,23
2022-06-12,34
2022-06-19,58
2022-06-26,62
2022-07-03,47
2022-07-10,88
2022-07-17,73
2022-07-24,36
2022-07-31,0
2022-08-07,84
2022-08-14,79
2022-08-21,85
2022-08-28,84
2022-09-04,80
2022-09-11,43
2022-09-18,0
2022-09-25,24
2022-10-02,43
2022-10-09,62
2022-10-16,86
2022-10-23,49
2022-10-30,61
2022-11-06,29
2022-11-13,32
2022-11-20,61
2022-11-27,37
2022-12-04,50
2022-12-11,46
2022-12-18,62
2022-12-25,52
