Categoria: Comercial e industrial

Semana,itaquera são paulo: (Mundo)
2022-01-02,56
2022-01-09,27
2022-01-16,100
2022-01-23,82
2022-01-30,0
2022-02-06,0
2022-02-13,21
2022-02-20,0
2022-02-27,21
2022-03-06,81
2022-03-13,19
2022-03-20,0
2022-03-27,19
2022-04-03,19
2022-04-10,33
2022-04-17,0
2022-04-24,0
2022-05-01,32
2022-05-08,45
2022-05-15,21
2022-05-22,22
2022-05-29,32
2022-06-05,39
2022-06-12,0
2022-06-19,27
2022-06-26,17
2022-07-03,0
2022-07-10,59
2022-07-17,0
2022-07-24,39
2022-07-31,46
2022-08-07,30
2022-08-14,43
2022-08-21,36
2022-08-28,0
2022-09-04,17
2022-09-11,35
2022-09-18,37
2022-09-25,29
2022-10-02,0
2022-10-09,26
2022-10-16,27
2022-10-23,21
2022-10-30,0
2022-11-06,0
2022-11-13,40
2022-11-20,37
2022-11-27,0
2022-12-04,34
2022-12-11,0
2022-12-18,0
2022-12-25,50
