Categoria: Comercial e industrial

Semana,vila mariana são paulo: (Mundo)
2022-01-02,0
2022-01-09,47
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,33
2022-03-13,49
2022-03-20,0
2022-03-27,37
2022-04-03,0
2022-04-10,48
2022-04-17,23
2022-04-24,0
2022-05-01,35
2022-05-08,25
2022-05-15,0
2022-05-22,100
2022-05-29,0
2022-06-05,71
2022-06-12,48
2022-06-19,29
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,35
2022-07-24,0
2022-07-31,40
2022-08-07,0
2022-08-14,37
2022-08-21,0
2022-08-28,43
2022-09-04,46
2022-09-11,46
2022-09-18,57
2022-09-25,0
2022-10-02,29
2022-10-09,0
2022-10-16,49
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,42
2022-12-18,59
2022-12-25,0
