Categoria: Comercial e industrial

Semana,lapa são paulo: (Mundo)
2022-01-02,50
2022-01-09,59
2022-01-16,0
2022-01-23,24
2022-01-30,36
2022-02-06,35
2022-02-13,24
2022-02-20,25
2022-02-27,31
2022-03-06,31
2022-03-13,0
2022-03-20,100
2022-03-27,17
2022-04-03,20
2022-04-10,15
2022-04-17,29
2022-04-24,57
2022-05-01,0
2022-05-08,51
2022-05-15,60
2022-05-22,0
2022-05-29,0
2022-06-05,23
2022-06-12,53
2022-06-19,19
2022-06-26,0
2022-07-03,52
2022-07-10,0
2022-07-17,21
2022-07-24,0
2022-07-31,89
2022-08-07,45
2022-08-14,84
2022-08-21,0
2022-08-28,24
2022-09-04,59
2022-09-11,55
2022-09-18,75
2022-09-25,53
2022-10-02,21
2022-10-09,17
2022-10-16,0
2022-10-23,24
2022-10-30,17
2022-11-06,17
2022-11-13,19
2022-11-20,25
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,17
2022-12-25,35
