Categoria: Compras

Semana,lapa são paulo: (Mundo)
2022-01-02,0
2022-01-09,100
2022-01-16,25
2022-01-23,37
2022-01-30,0
2022-02-06,41
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,18
2022-03-13,0
2022-03-20,49
2022-03-27,14
2022-04-03,0
2022-04-10,0
2022-04-17,25
2022-04-24,0
2022-05-01,23
2022-05-08,15
2022-05-15,22
2022-05-22,24
2022-05-29,0
2022-06-05,19
2022-06-12,0
2022-06-19,0
2022-06-26,24
2022-07-03,0
2022-07-10,0
2022-07-17,41
2022-07-24,53
2022-07-31,0
2022-08-07,0
2022-08-14,39
2022-08-21,0
2022-08-28,0
2022-09-04,40
2022-09-11,0
2022-09-18,36
2022-09-25,0
2022-10-02,32
2022-10-09,19
2022-10-16,0
2022-10-23,0
2022-10-30,57
2022-11-06,77
2022-11-13,0
2022-11-20,0
2022-11-27,34
2022-12-04,48
2022-12-11,20
2022-12-18,43
2022-12-25,0
