Categoria: Saúde

Semana,vila maria são paulo: (Mundo)
2022-01-02,100
2022-01-09,37
2022-01-16,48
2022-01-23,31
2022-01-30,0
2022-02-06,0
2022-02-13,52
2022-02-20,31
2022-02-27,29
2022-03-06,35
2022-03-13,51
2022-03-20,34
2022-03-27,0
2022-04-03,51
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,46
2022-05-08,0
2022-05-15,28
2022-05-22,0
2022-05-29,0
2022-06-05,30
2022-06-12,0
2022-06-19,0
2022-06-26,57
2022-07-03,0
2022-07-10,0
2022-07-17,30
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,44
2022-08-28,82
2022-09-04,0
2022-09-11,23
2022-09-18,0
2022-09-25,0
2022-10-02,0
2022-10-09,35
2022-10-16,0
2022-10-23,0
2022-10-30,68
2022-11-06,0
2022-11-13,0
2022-11-20,42
2022-11-27,21
2022-12-04,24
2022-12-11,0
2022-12-18,44
2022-12-25,0
