Categoria: Saúde

Semana,itaquera são paulo: (Mundo)
2022-01-02,69
2022-01-09,54
2022-01-16,23
2022-01-23,31
2022-01-30,0
2022-02-06,0
2022-02-13,52
2022-02-20,60
2022-02-27,0
2022-03-06,21
2022-03-13,0
2022-03-20,21
2022-03-27,0
2022-04-03,47
2022-04-10,39
2022-04-17,19
2022-04-24,64
2022-05-01,0
2022-05-08,55
2022-05-15,31
2022-05-22,71
2022-05-29,30
2022-06-05,61
2022-06-12,100
2022-06-19,48
2022-06-26,20
2022-07-03,27
2022-07-10,61
2022-07-17,31
2022-07-24,0
2022-07-31,0
2022-08-07,28
2022-08-14,27
2022-08-21,34
2022-08-28,87
2022-09-04,26
2022-09-11,65
2022-09-18,0
2022-09-25,0
2022-10-02,19
2022-10-09,0
2022-10-16,23
2022-10-23,21
2022-10-30,43
2022-11-06,0
2022-11-13,38
2022-11-20,90
2022-11-27,37
2022-12-04,18
2022-12-11,0
2022-12-18,63
2022-12-25,0
