Categoria: Saúde

Semana,lapa são paulo: (Mundo)
2022-01-02,79
2022-01-09,58
2022-01-16,100
2022-01-23,67
2022-01-30,0
2022-02-06,0
2022-02-13,52
2022-02-20,53
2022-02-27,0
2022-03-06,28
2022-03-13,87
2022-03-20,80
2022-03-27,56
2022-04-03,43
2022-04-10,0
2022-04-17,80
2022-04-24,0
2022-05-01,86
2022-05-08,0
2022-05-15,34
2022-05-22,59
2022-05-29,57
2022-06-05,0
2022-06-12,0
2022-06-19,66
2022-06-26,67
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,73
2022-08-07,63
2022-08-14,47
2022-08-21,81
2022-08-28,0
2022-09-04,41
2022-09-11,0
2022-09-18,49
2022-09-25,43
2022-10-02,30
2022-10-09,59
2022-10-16,30
2022-10-23,0
2022-10-30,0
2022-11-06,65
2022-11-13,60
2022-11-20,60
2022-11-27,70
2022-12-04,35
2022-12-11,44
2022-12-18,0
2022-12-25,76
