Categoria: Todas as categorias

Semana,campo belo são paulo: (Mundo)
2022-01-02,51
2022-01-09,60
2022-01-16,52
2022-01-23,39
2022-01-30,38
2022-02-06,53
2022-02-13,50
2022-02-20,52
2022-02-27,61
2022-03-06,44
2022-03-13,70
2022-03-20,100
2022-03-27,51
2022-04-03,49
2022-04-10,34
2022-04-17,43
2022-04-24,69
2022-05-01,81
2022-05-08,56
2022-05-15,77
2022-05-22,32
2022-05-29,57
2022-06-05,76
2022-06-12,78
2022-06-19,73
2022-06-26,71
2022-07-03,57
2022-07-10,73
2022-07-17,66
2022-07-24,41
2022-07-31,37
2022-08-07,71
2022-08-14,59
2022-08-21,65
2022-08-28,63
2022-09-04,50
2022-09-11,58
2022-09-18,61
2022-09-25,80
2022-10-02,38
2022-10-09,34
2022-10-16,59
2022-10-23,73
2022-10-30,77
2022-11-06,44
2022-11-13,28
2022-11-20,49
2022-11-27,37
2022-12-04,24
2022-12-11,47
2022-12-18,57
2022-12-25,48
