Categoria: Todas as categorias

Semana,freguesia do ó são paulo: (Mundo)
2022-01-02,44
2022-01-09,100
2022-01-16,68
2022-01-23,49
2022-01-30,65
2022-02-06,46
2022-02-13,42
2022-02-20,27
2022-02-27,39
2022-03-06,41
2022-03-13,58
2022-03-20,54
2022-03-27,63
2022-04-03,20
2022-04-10,87
2022-04-17,37
2022-04-24,69
2022-05-01,77
2022-05-08,59
2022-05-15,95
2022-05-22,61
2022-05-29,67
2022-06-05,77
2022-06-12,23
2022-06-19,65
2022-06-26,47
2022-07-03,36
2022-07-10,86
2022-07-17,47
2022-07-24,58
2022-07-31,43
2022-08-07,87
2022-08-14,91
2022-08-21,51
2022-08-28,46
2022-09-04,43
2022-09-11,50
2022-09-18,54
2022-09-25,58
2022-10-02,37
2022-10-09,86
2022-10-16,75
2022-10-23,57
2022-10-30,44
2022-11-06,58
2022-11-13,61
2022-11-20,9
2022-11-27,39
2022-12-04,30
2022-12-11,71
2022-12-18,21
2022-12-25,34
