Categoria: Todas as categorias

Semana,vila carrão são paulo: (Mundo)
2022-01-02,67
2022-01-09,27
2022-01-16,55
2022-01-23,44
2022-01-30,33
2022-02-06,58
2022-02-13,0
2022-02-20,0
2022-02-27,27
2022-03-06,36
2022-03-13,20
2022-03-20,29
2022-03-27,0
2022-04-03,39
2022-04-10,27
2022-04-17,47
2022-04-24,32
2022-05-01,0
2022-05-08,53
2022-05-15,72
2022-05-22,67
2022-05-29,21
2022-06-05,67
2022-06-12,100
2022-06-19,36
2022-06-26,0
2022-07-03,81
2022-07-10,69
2022-07-17,55
2022-07-24,79
2022-07-31,46
2022-08-07,22
2022-08-14,84
2022-08-21,52
2022-08-28,66
2022-09-04,0
2022-09-11,36
2022-09-18,48
2022-09-25,0
2022-10-02,43
2022-10-09,0
2022-10-16,80
2022-10-23,27
2022-10-30,13
2022-11-06,54
2022-11-13,53
2022-11-20,0
2022-11-27,24
2022-12-04,19
2022-12-11,13
2022-12-18,0
2022-12-25,51
