Categoria: Todas as categorias

Semana,cambuci são paulo: (Mundo)
2022-01-02,41
2022-01-09,95
2022-01-16,33
2022-01-23,69
2022-01-30,66
2022-02-06,42
2022-02-13,57
2022-02-20,41
2022-02-27,63
2022-03-06,62
2022-03-13,58
2022-03-20,81
2022-03-27,93
2022-04-03,63
2022-04-10,24
2022-04-17,60
2022-04-24,61
2022-05-01,53
2022-05-08,100
2022-05-15,59
2022-05-22,41
2022-05-29,32
2022-06-05,39
2022-06-12,53
2022-06-19,94
2022-06-26,93
2022-07-03,24
2022-07-10,50
2022-07-17,44
2022-07-24,63
2022-07-31,92
2022-08-07,72
2022-08-14,42
2022-08-21,74
2022-08-28,76
2022-09-04,89
2022-09-11,69
2022-09-18,49
2022-09-25,82
2022-10-02,49
2022-10-09,77
2022-10-16,67
2022-10-23,45
2022-10-30,63
2022-11-06,34
2022-11-13,67
2022-11-20,86
2022-11-27,27
2022-12-04,38
2022-12-11,75
2022-12-18,49
2022-12-25,46
