Categoria: Todas as categorias

Semana,perus são paulo: (Mundo)
2022-01-02,39
2022-01-09,38
2022-01-16,18
2022-01-23,70
2022-01-30,59
2022-02-06,0
2022-02-13,45
2022-02-20,71
2022-02-27,48
2022-03-06,60
2022-03-13,57
2022-03-20,21
2022-03-27,57
2022-04-03,47
2022-04-10,38
2022-04-17,39
2022-04-24,40
2022-05-01,70
2022-05-08,84
2022-05-15,71
2022-05-22,68
2022-05-29,53
2022-06-05,36
2022-06-12,70
2022-06-19,59
2022-06-26,60
2022-07-03,41
2022-07-10,31
2022-07-17,64
2022-07-24,81
2022-07-31,63
2022-08-07,63
2022-08-14,62
2022-08-21,60
2022-08-28,31
2022-09-04,66
2022-09-11,100
2022-09-18,43
2022-09-25,60
2022-10-02,41
2022-10-09,45
2022-10-16,63
2022-10-23,46
2022-10-30,63
2022-11-06,43
2022-11-13,38
2022-11-20,36
2022-11-27,86
2022-12-04,27
2022-12-11,33
2022-12-18,40
2022-12-25,36
