Categoria: Todas as categorias

Semana,lapa são paulo: (Mundo)
2022-01-02,80
2022-01-09,76
2022-01-16,63
2022-01-23,82
2022-01-30,65
2022-02-06,71
2022-02-13,80
2022-02-20,76
2022-02-27,83
2022-03-06,70
2022-03-13,83
2022-03-20,86
2022-03-27,71
2022-04-03,64
2022-04-10,58
2022-04-17,67
2022-04-24,65
2022-05-01,91
2022-05-08,60
2022-05-15,88
2022-05-22,65
2022-05-29,68
2022-06-05,73
2022-06-12,95
2022-06-19,75
2022-06-26,90
2022-07-03,71
2022-07-10,73
2022-07-17,90
2022-07-24,85
2022-07-31,100
2022-08-07,87
2022-08-14,95
2022-08-21,74
2022-08-28,76
2022-09-04,72
2022-09-11,87
2022-09-18,87
2022-09-25,96
2022-10-02,66
2022-10-09,73
2022-10-16,88
2022-10-23,77
2022-10-30,64
2022-11-06,82
2022-11-13,57
2022-11-20,64
2022-11-27,58
2022-12-04,66
2022-12-11,77
2022-12-18,74
2022-12-25,48
